ride_count,temperature,windSpeed,visibility,distance,humidity
1716,18.91,3.16,10,0.44,0.94
1871,18.97,3.44,9.67,0.44,0.75
1872,19.28,3.6,9.868,0.44,0.73
1872,20.01,3.39,9.968,0.44,0.7
1872,20.07,4.21,9.725,0.44,0.84
1872,20.23,3.34,9.706,1.08,0.91
1872,20.38,2.94,9.831,1.08,0.93
1872,20.42,3.48,9.917,1.08,0.96
1872,22.18,3.32,9.428,1.08,0.93
1858,23.19,3.94,10,1.08,0.62
1262,23.26,3.78,10,1.08,0.63
1872,24.61,13.75,10,1.11,0.6
1872,24.61,14.95,9.948,1.11,0.66
1872,24.71,15,9.901,1.11,0.56
1872,25.21,14.15,9.734,1.11,0.86
1872,25.55,3.11,9.568,1.11,0.64
1872,26.21,14.3,9.393,1.11,0.52
1872,26.47,14.36,10,1.11,0.68
1872,27.41,14.11,10,0.72,0.69
1872,27.71,2.96,9.641,0.72,0.72
1872,27.77,2.59,9.608,0.72,0.51
1872,27.83,2.9,9.666,0.72,0.67
1872,27.93,2.69,9.668,0.72,0.75
1872,28.2,1.89,9.666,0.72,0.91
1872,28.42,2.81,9.725,2.48,0.72
1872,28.58,12.84,10,2.48,0.7
1716,29.05,4.46,10,2.48,0.94
1872,29.09,2.53,9.931,2.48,0.66
1872,29.22,1.03,9.706,2.48,0.73
156,29.35,4.8,10,2.48,0.57
1872,29.36,12.82,9.375,2.48,0.96
1872,29.39,2.51,9.95,3.24,0.89
1872,29.63,1.1,9.716,3.24,0.92
1872,29.68,3.03,9.882,3.24,0.53
901,29.68,5.12,10,3.24,0.93
1872,30.04,3.02,9.888,3.24,0.64
2028,30.09,2.25,9.864,2.94,0.77
1674,30.26,5.4,9.972,2.94,0.65
1872,30.42,2.19,9.944,2.94,0.88
1872,30.46,2.48,9.908,2.94,0.54
1872,30.58,2.2,9.892,2.94,0.81
1872,30.64,2.4,10,2.94,0.94
1872,30.78,12.73,10,2.94,0.92
1872,30.8,13.14,9.974,1.76,0.78
1872,30.87,1.95,9.806,1.76,0.71
1872,31.1,1.66,9.849,1.76,0.68
1872,31.24,2.5,9.946,1.76,0.88
1872,31.25,2.62,10,1.76,0.93
1872,31.41,2.31,10,1.76,0.61
1872,31.54,2.11,10,0.71,0.79
1872,31.57,1.35,10,0.71,0.93
1872,31.71,11.52,7.113,0.71,0.82
1872,31.74,3.12,9.972,0.71,0.52
1872,31.8,2.1,10,1.23,0.95
1872,31.87,4.09,9.687,1.23,0.93
1872,31.98,1.98,10,1.23,0.95
1872,32.05,4.1,9.858,1.23,0.69
1872,32.07,4.94,9.712,1.23,0.94
1872,32.31,4.24,9.85,1.23,0.69
1872,32.34,3.95,9.949,1.16,0.57
624,32.34,12.52,9.883,1.16,0.65
1872,32.6,1.87,10,1.16,0.64
1872,32.67,2.47,9.926,1.16,0.91
1872,32.85,2.65,9.959,1.16,0.94
1872,33.15,3.02,9.956,1.16,0.64
1872,33.71,11.05,5.86,1.16,0.69
1872,33.78,4.74,9.99,2.67,0.52
3588,34.26,4.54,9.924,2.67,0.94
1872,34.37,3.76,9.891,2.67,0.83
1872,34.38,5.28,10,1.16,0.94
4992,34.4,4.89,9.899,1.16,0.95
156,34.51,4.58,9.928,1.16,0.57
1872,34.59,3.07,9.945,1.16,0.95
1872,34.62,2.59,9.937,1.16,0.91
1872,34.81,2.98,9.966,1.16,0.7
1872,34.87,3.33,10,3.39,0.96
1872,34.87,7.37,8.275,3.39,0.9
1872,35.01,7.13,8.468,3.39,0.68
1872,35.19,7.88,8.459,3.39,0.71
372,35.22,5.15,9.926,3.39,0.86
1872,35.45,8.27,4.942,3.39,0.65
1872,35.52,1.85,9.846,3.39,0.92
4992,35.54,5.31,9.933,3.39,0.71
1872,35.68,1.83,9.857,3.39,0.65
1872,35.84,8.52,3.606,3.39,0.7
1872,35.95,5.66,10,3.39,0.59
1872,35.95,6.06,9.874,3.39,0.81
4992,35.98,5.92,9.843,3.39,0.59
1872,36.08,3.02,9.832,3.39,0.91
1872,36.27,9.02,7.357,2.82,0.65
1872,36.45,6.79,9.037,2.82,0.5
1872,36.5,1.92,9.689,2.82,0.79
4992,36.53,5.42,9.974,2.82,0.94
1872,36.87,6.56,9.588,2.82,0.75
2184,36.89,3.41,9.884,2.82,0.59
1872,36.95,1.63,9.889,2.49,0.51
